name,sido,cl_name,url,reason,staff_urls,ignore_robots
365병원,경남,병원,http://www.masan365.co.kr/,홈페이지 접속 실패: robots.txt disallow,,
the큰병원,경남,병원,http://www.grandhospital.com,의료진 페이지 수집 실패 (모든 페이지 오류),,
거창적십자병원,경남,병원,http://www.rch.or.kr/geochang,홈페이지 접속 실패: HTTP 404,,
국립마산병원,경남,병원,http://www.nmh.go.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
김해사랑병원,경남,병원,http://www.khsmc.co.kr,홈페이지 접속 실패: HTTP 403,,
더(the)큰병원,경남,병원,http://www.ghgrandhospital.com,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
베스트재활의학과병원,경남,병원,http://www.bestrmhosp.co.kr,홈페이지 접속 실패: ConnectTimeout: ,,
서울패미리병원,경남,병원,http://ilovecnams.qrsvc.com/,의료진 페이지에서 의사를 찾지 못함,,
서울패밀리병원,경남,병원,http://www.ilovecna.com/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인 신의료재단 김해삼승병원,경남,병원,http://www.ghsamsung.com/index.asp,홈페이지 접속 실패: HTTP 403,,
의료법인승연의료재단 삼천포서울병원,경남,병원,http://www.3004sh.com,홈페이지 접속 실패: HTTP 403,,
의료법인아림의료재단에스지서경병원,경남,병원,http://www.seokyung.or.kr/,홈페이지 접속 실패: HTTP 400,,
의료법인한서의료재단 진영병원,경남,병원,http://www.hanseo.or.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
진주복음병원,경남,병원,http://jghospital.co.kr,의료진 페이지에서 의사를 찾지 못함,,
홍익재활병원,경남,병원,http://www.pulip.org/hospital/hospital_info_01.htm,홈페이지 접속 실패: HTTP 404,,
경상국립대학교병원,경남,상급종합,https://www.gnuh.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
학교법인성균관대학삼성창원병원,경남,상급종합,https://smc.skku.edu/smc/main/main.do?mId=1,홈페이지 접속 실패: ConnectTimeout: ,,
(의)환명의료재단 경상남도립김해노인전문병원,경남,요양병원,http://gimhaenoin.co.kr/,홈페이지 접속 실패: HTTP 403,,
경상남도립양산노인전문병원,경남,요양병원,http://www.gygh.co.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
녹십자요양병원,경남,요양병원,http://www.noksipjahospital.com/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
대민의료생활협동조합 온세상요양병원,경남,요양병원,http://www.gimhaehp.com/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
시립창원요양병원,경남,요양병원,http://www.hyomind.co.kr,홈페이지 접속 실패: ConnectTimeout: ,,
용원휴요양병원,경남,요양병원,http://www.hueh.co.kr,홈페이지 접속 실패: robots.txt disallow,,
유천의료재단새롬재활요양병원,경남,요양병원,http://www.saeromhp.com,홈페이지 접속 실패: ConnectError: [SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1010),,
의료법인 경림의료재단 고성요양병원,경남,요양병원,http://www.고성요양병원.com,의료진 페이지에서 의사를 찾지 못함,,
의료법인 덕산의료재단 한마음노인요양병원,경남,요양병원,http://www.4000hanmaeum.com/,홈페이지 접속 실패: robots.txt disallow,,
의료법인 송파의료재단 가야요양병원,경남,요양병원,http://www.gayacare.com/,의료진 페이지에서 의사를 찾지 못함,,
의료법인 오남의료재단 인제요양병원,경남,요양병원,http://조은삼계.com/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인 인경의료재단 홍익요양병원,경남,요양병원,http://www.hyodo1004.com/,의료진 페이지에서 의사를 찾지 못함,,
의료법인 진주의료재단 진주노인요양병원,경남,요양병원,http://www.samsunghospital.net,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인 풍성의료재단 안정요양병원,경남,요양병원,https://pungsunghan.com,의료진 페이지에서 의사를 찾지 못함,,
의료법인 행복한의료재단 숲속요양병원,경남,요양병원,https://www.happymc.com/,홈페이지 접속 실패: robots.txt disallow,,
의료법인수의료재단 청솔요양병원,경남,요양병원,http://www.청솔요양병원.com,의료진 페이지에서 의사를 찾지 못함,,
의료법인정다운사람들의료재단정다운요양병원,경남,요양병원,http://www.jduhosp.com/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인진주의료재단 경상남도립통영노인전문병원,경남,요양병원,http://gnsilver.com,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인태산의료재단 큰사랑요양병원,경남,요양병원,http://keunsaranghospital.com/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인푸른솔의료재단 김해한솔재활요양병원,경남,요양병원,http://www.hmhansol.co.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
청담요양병원,경남,요양병원,http://www.cdhospital.co.kr/main/index.php,의료진 페이지에서 의사를 찾지 못함,,
푸른요양병원,경남,요양병원,http://www.pureunhospital.com,홈페이지 접속 실패: ConnectError: [SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1010),,
행복한요양병원,경남,요양병원,http://www.happy2008.co.kr,의료진 페이지에서 의사를 찾지 못함,,
양산병원,경남,정신병원,http://www.how2care.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인통영의료재단통영정신병원,경남,정신병원,http://tmh.kr/sub0/sub0.php?m=tyssh,홈페이지 접속 실패: HTTP 404,,
의료법인한길사랑의료재단현대사랑병원,경남,정신병원,http://www.hdsarang.com/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
한사랑병원,경남,정신병원,https://www.dreamforone.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
경상남도마산의료원,경남,종합병원,http://www.mmc.or.kr,홈페이지 접속 실패: ConnectTimeout: ,,
근로복지공단 창원병원,경남,종합병원,http://www.kcomwel.or.kr/hospital/changwon/,홈페이지 접속 실패: HTTP 400,,
베데스다복음병원,경남,종합병원,http://www.bdsh.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인 대우의료재단대우병원,경남,종합병원,http://www.dwho.or.kr,의료진 페이지에서 의사를 찾지 못함,,
